   JOINT #   DIRECTION    Pound-mass(inch)
   -------   ---------     = LBf/386.08858

      3309       X             0.558062
      3309       Y             0.558062
      3309       Z             0.558062
      3308       X             0.558062
      3308       Y             0.558062
      3308       Z             0.558062
      8819       Y             0.651198
      8817       Y             0.651198
      3310       X             0.811615
      3310       Y             0.811615
      3310       Z             0.811615
      8821       Y             0.833492
      3294       X             0.279794
      3294       Y             0.279794
      3294       Z             0.279794
      3295       X             0.279794
      3295       Y             0.279794
      3295       Z             0.279794
      3296       X             0.421638
      3296       Y             0.421638
      3296       Z             0.421638
      3307       X             0.872605
      3307       Y             0.872605
      3307       Z             0.872605
      8815       Y             0.833205
      3293       X             0.543613
      3293       Y             0.543613
      3293       Z             0.543613
      8816       Y             0.473688
      8818       Y             0.473688
      8820       Y             0.820534
      8814       Y             0.818817
      3311       X             0.558062
      3311       Y             0.558062
      3311       Z             0.558062
      8823       Y             0.651198
      9805       X             0.365733
      9805       Y             0.365733
      9805       Z             0.365733
      3297       X             0.279794
      3297       Y             0.279794
      3297       Z             0.279794
      8822       Y             0.473688
      3279       X             0.541037
      3279       Y             0.541037
      3279       Z             0.541037
      3280       X             0.278468
      3280       Y             0.278468
      3280       Z             0.278468
      3281       X             0.278468
      3281       Y             0.278468
      3281       Z             0.278468
      3282       X             0.419640
      3282       Y             0.419640
      3282       Z             0.419640
      3283       X             0.278468
      3283       Y             0.278468
      3283       Z             0.278468
      3306       X             0.558062
      3306       Y             0.558062
      3306       Z             0.558062
      8813       Y             0.651198
      3512       X             0.486569
      3512       Y             0.486569
      3512       Z             0.486569
      3292       X             0.279794
      3292       Y             0.279794
      3292       Z             0.279794
      3510       X             0.243950
      3510       Y             0.243950
      3510       Z             0.243950
      8812       Y             0.467392
      3278       X             0.278468
      3278       Y             0.278468
      3278       Z             0.278468
      3508       X             0.242794
      3508       Y             0.242794
      3508       Z             0.242794
      8889       Y             0.671405
      8890       Y             0.461563
      8891       Y             0.459594
      8892       Y             0.669629
      3923       X             0.447634
      3923       Y             0.447634
      3923       Z             0.447634
      8893       Y             0.459071
      3513       X             0.511358
      3513       Y             0.511358
      3513       Z             0.511358
      8888       Y             0.403808
      3312       X             0.558062
      3312       Y             0.558062
      3312       Z             0.558062
      8825       Y             0.651198
      3298       X             0.279794
      3298       Y             0.279794
      3298       Z             0.279794
      8824       Y             0.473688
      3284       X             0.278468
      3284       Y             0.278468
      3284       Z             0.278468
      8894       Y             0.459382
      3265       X             0.541037
      3265       Y             0.541037
      3265       Z             0.541037
